human_gene,Human Gene Systematic Name,worm_gene,worm_ID,sources,all_databases,Is Best Score,Is Best Reverse Score,n_databases,full_pathway,Pathway_Level,geneName,AC1,AC2,AC3,WB1,WB2,WB3,baseMean,log2 fold change,lfcSE,stat,pvalue,padj,Updated Gene Name,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Transcript count
AARS2,HGNC:21022,aars-1,WBGene00000196,Alliance+OrthoList,Ensembl Compara|OrthoFinder|PANTHER|PhylomeDB,Yes,Yes,4,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Mitochondrial central dogma,aars-1,245,104,1,161,357,305,147.5868647,-0.790312862,1.056755905,-0.747866994,0.454540388,0.662795648,aars-1,II,11460205,11464497,2
AARS2,HGNC:21022,aars-1,WBGene00000196,Alliance+OrthoList,Ensembl Compara|OrthoFinder|PANTHER|PhylomeDB,Yes,Yes,4,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Mitochondrial central dogma > Translation,aars-1,245,104,1,161,357,305,147.5868647,-0.790312862,1.056755905,-0.747866994,0.454540388,0.662795648,aars-1,II,11460205,11464497,2
AARS2,HGNC:21022,aars-1,WBGene00000196,Alliance+OrthoList,Ensembl Compara|OrthoFinder|PANTHER|PhylomeDB,Yes,Yes,4,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Mitochondrial central dogma > Translation > mt-tRNA synthetases,aars-1,245,104,1,161,357,305,147.5868647,-0.790312862,1.056755905,-0.747866994,0.454540388,0.662795648,aars-1,II,11460205,11464497,2
AARS2,NA,aars-2,WBGene00000197,OrthoList,OrthoMCL,NA,NA,1,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Mitochondrial central dogma,aars-2,1580,2731,4565,3562,4172,1890,2495.334022,0.692852149,0.649940316,1.066024267,0.286412672,0.522409228,aars-2,I,3983183,3986581,2
AARS2,NA,aars-2,WBGene00000197,OrthoList,OrthoMCL,NA,NA,1,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Mitochondrial central dogma > Translation,aars-2,1580,2731,4565,3562,4172,1890,2495.334022,0.692852149,0.649940316,1.066024267,0.286412672,0.522409228,aars-2,I,3983183,3986581,2
AARS2,NA,aars-2,WBGene00000197,OrthoList,OrthoMCL,NA,NA,1,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Mitochondrial central dogma > Translation > mt-tRNA synthetases,aars-2,1580,2731,4565,3562,4172,1890,2495.334022,0.692852149,0.649940316,1.066024267,0.286412672,0.522409228,aars-2,I,3983183,3986581,2
AASS,HGNC:17366,aass-1,WBGene00019819,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Amino acid metabolism > Lysine metabolism,Metabolism,R02D3.1,363,442,211,1378,3911,931,904.022978,-0.725657752,0.626674243,-1.157950498,0.246884238,0.486147434,aass-1,IV,245143,251925,2
AASS,HGNC:17366,aass-1,WBGene00019819,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Amino acid metabolism > Lysine metabolism,Metabolism > Amino acid metabolism,R02D3.1,363,442,211,1378,3911,931,904.022978,-0.725657752,0.626674243,-1.157950498,0.246884238,0.486147434,aass-1,IV,245143,251925,2
AASS,HGNC:17366,aass-1,WBGene00019819,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Amino acid metabolism > Lysine metabolism,Metabolism > Amino acid metabolism > Lysine metabolism,R02D3.1,363,442,211,1378,3911,931,904.022978,-0.725657752,0.626674243,-1.157950498,0.246884238,0.486147434,aass-1,IV,245143,251925,2
ABAT,HGNC:23,gta-1,WBGene00001794,Alliance+OrthoList,Ensembl Compara|Hieranoid|Homologene|InParanoid|OMA|OrthoFinder|OrthoInspector|OrthoMCL|PANTHER|PhylomeDB|SonicParanoid,Yes,Yes,11,Metabolism > Amino acid metabolism > GABA metabolism,Metabolism,gta-1,968,511,341,1801,2082,1895,1134.073302,-0.681206276,0.529508566,-1.286487737,0.198272896,0.431997441,gta-1,IV,10180660,10183865,2
